registrationdate,catottg_region,region,legalform,area,animal,giftamount,cntuser
2022-08-28,UA46000000000026241,ЛЬВІВСЬКА ОБЛАСТЬ,Юридична особа,1.67,0,0,1
2022-08-28,UA59000000000057109,СУМСЬКА ОБЛАСТЬ,Юридична особа,39.889700000000005,0,0,1
2022-08-27,UA80000000000093317,М. КИЇВ,Юридична особа,0.0,0,0,1
2022-08-27,,Не визначений,Фізична особа,0.0,0,0,1
2022-08-25,UA63000000000041885,ХАРКІВСЬКА ОБЛАСТЬ,Юридична особа,479.8237,0,0,1
2022-08-25,,Не визначений,ФОП,0.0,0,0,2
2022-08-23,UA32000000000030281,КИЇВСЬКА ОБЛАСТЬ,ФОП,0.0,0,0,1
2022-08-23,UA35000000000016081,КІРОВОГРАДСЬКА ОБЛАСТЬ,Юридична особа,4421.439,0,0,1
2022-08-23,UA80000000000093317,М. КИЇВ,ФОП,0.0,0,0,1
2022-08-15,UA32000000000030281,КИЇВСЬКА ОБЛАСТЬ,ФОП,0.0,0,0,1
2022-08-15,,Не визначений,Фізична особа,0.0,0,0,1
2022-08-11,UA18000000000041385,ЖИТОМИРСЬКА ОБЛАСТЬ,ФОП,12357.246799999997,0,0,1
2022-07-27,UA80000000000093317,М. КИЇВ,Юридична особа,0.0,0,0,1
2022-07-27,,Не визначений,Юридична особа,0.0,0,0,4
2022-07-25,UA46000000000026241,ЛЬВІВСЬКА ОБЛАСТЬ,ФОП,12312.785,790,583212.54,1
2022-07-25,UA59000000000057109,СУМСЬКА ОБЛАСТЬ,ФОП,1256.0925299999979,206,551623,1
2022-07-22,UA80000000000093317,М. КИЇВ,Юридична особа,0.0,0,0,10
2021-06-24,UA46000000000026241,ЛЬВІВСЬКА ОБЛАСТЬ,Юридична особа,21.615399999999998,0,0,1
2021-06-22,UA48000000000039575,МИКОЛАЇВСЬКА ОБЛАСТЬ,Юридична особа,573.2542999999998,0,0,1
2021-06-19,UA14000000000091971,ДОНЕЦЬКА ОБЛАСТЬ,Юридична особа,1851.9710999999998,0,0,1
2021-06-17,UA51000000000030770,ОДЕСЬКА ОБЛАСТЬ,Юридична особа,2525.622299999998,0,0,1
2021-06-16,UA48000000000039575,МИКОЛАЇВСЬКА ОБЛАСТЬ,Юридична особа,519.1147000000001,0,0,1
2021-06-15,UA18000000000041385,ЖИТОМИРСЬКА ОБЛАСТЬ,Юридична особа,28.992199999999997,0,0,1
2021-06-15,UA46000000000026241,ЛЬВІВСЬКА ОБЛАСТЬ,Фізична особа,0.0,0,0,1
2021-06-15,UA46000000000026241,ЛЬВІВСЬКА ОБЛАСТЬ,Юридична особа,1289.9373000000003,0,0,1
2021-06-15,UA65000000000030969,ХЕРСОНСЬКА ОБЛАСТЬ,Юридична особа,5.9985,0,0,1
2021-06-13,UA21000000000011690,ЗАКАРПАТСЬКА ОБЛАСТЬ,Юридична особа,1189.7221000000002,0,0,1
2021-06-10,UA46000000000026241,ЛЬВІВСЬКА ОБЛАСТЬ,Юридична особа,955.9611999999989,0,0,1
2021-06-07,UA18000000000041385,ЖИТОМИРСЬКА ОБЛАСТЬ,Юридична особа,849.8963999999994,0,0,1
2021-06-04,UA46000000000026241,ЛЬВІВСЬКА ОБЛАСТЬ,Юридична особа,207.2414,0,0,2
2021-06-04,UA53000000000028050,ПОЛТАВСЬКА ОБЛАСТЬ,ФОП,172.5475,0,58024,1
2021-06-03,UA51000000000030770,ОДЕСЬКА ОБЛАСТЬ,Фізична особа,2.0,0,0,1
2021-06-03,UA56000000000066151,РІВНЕНСЬКА ОБЛАСТЬ,Юридична особа,94.3942,0,0,1
2021-06-02,UA44000000000018893,ЛУГАНСЬКА ОБЛАСТЬ,Юридична особа,0.0,0,0,1
2021-06-02,UA46000000000026241,ЛЬВІВСЬКА ОБЛАСТЬ,Фізична особа,0.0,0,0,1
2021-06-01,UA48000000000039575,МИКОЛАЇВСЬКА ОБЛАСТЬ,Юридична особа,595.9953999999998,0,0,1
2021-05-31,UA44000000000018893,ЛУГАНСЬКА ОБЛАСТЬ,Юридична особа,402.48079999999993,0,0,2
2021-05-31,UA46000000000026241,ЛЬВІВСЬКА ОБЛАСТЬ,Юридична особа,120.9666,0,0,1
2021-05-30,UA44000000000018893,ЛУГАНСЬКА ОБЛАСТЬ,ФОП,115.77700000000002,0,0,1
2021-05-30,UA44000000000018893,ЛУГАНСЬКА ОБЛАСТЬ,Юридична особа,537.6531000000001,0,0,3
2021-05-27,UA01000000000013043,Автономна Республіка Крим,Фізична особа,0.0,0,0,1
2021-05-25,UA01000000000013043,Автономна Республіка Крим,Фізична особа,0.0,0,0,1
2021-05-25,UA07000000000024379,ВОЛИНСЬКА ОБЛАСТЬ,Юридична особа,117.47819999999999,0,0,1
2021-05-24,UA07000000000024379,ВОЛИНСЬКА ОБЛАСТЬ,Юридична особа,200.60820000000004,0,0,1
